order_id,order_date,product,category,quantity,unit_price,total_amount,region,status,customer_id
ORD-00026,2024-04-12,Rug,Home,5,54.82,274.1,North,Cancelled,CUST-0110
ORD-00027,2025-03-24,Chair,Home,2,442.05,884.1,East,Cancelled,CUST-0414
ORD-00028,2024-09-27,Camera,Electronics,2,1234.8,2469.6,North,Completed,CUST-0381
ORD-00029,2025-06-01,Jacket,Clothing,3,53.97,161.9,West,Completed,CUST-0464
ORD-00030,2024-09-25,Laptop,Electronics,2,969.71,1939.42,South,Pending,CUST-0283
ORD-00031,2024-02-06,Mat,Sports,5,272.14,1360.7,East,Cancelled,CUST-0283
ORD-00032,2025-01-01,Dress,Clothing,1,72.03,72.03,South,Completed,CUST-0342
ORD-00033,2024-08-30,Tablet,Electronics,2,1181.17,2362.34,South,Completed,CUST-0452
ORD-00034,2024-09-30,Bike,Sports,2,129.4,258.79,South,Completed,CUST-0196
ORD-00035,2024-08-16,Headphones,Electronics,2,372.53,745.06,North,Completed,CUST-0205
ORD-00036,2024-12-05,Table,Home,4,153.98,615.92,North,Completed,CUST-0450
ORD-00037,2024-11-17,Chair,Home,3,38.36,115.09,West,Cancelled,CUST-0262
ORD-00038,2024-07-20,Headphones,Electronics,5,1354.28,6771.41,East,Pending,CUST-0036
ORD-00039,2025-02-22,Pillow,Home,3,365.48,1096.45,East,Pending,CUST-0357
ORD-00040,2024-11-04,Pillow,Home,2,471.37,942.75,West,Cancelled,CUST-0427
ORD-00041,2025-03-28,Tablet,Electronics,4,466.02,1864.1,West,Completed,CUST-0262
ORD-00042,2024-04-05,Weights,Sports,3,193.55,580.66,South,Completed,CUST-0116
ORD-00043,2025-04-11,Jeans,Clothing,1,60.3,60.3,West,Cancelled,CUST-0100
ORD-00044,2025-03-11,Gloves,Sports,1,268.87,268.87,South,Completed,CUST-0412
ORD-00045,2025-06-27,Bike,Sports,4,48.67,194.67,East,Pending,CUST-0314
ORD-00046,2024-10-10,Mat,Sports,2,140.52,281.04,West,Completed,CUST-0141
ORD-00047,2024-05-21,Bike,Sports,1,268.98,268.98,South,Completed,CUST-0197
ORD-00048,2024-07-30,Hat,Clothing,1,91.75,91.75,West,Pending,CUST-0464
ORD-00049,2024-08-13,Smartwatch,Electronics,4,601.55,2406.21,West,Completed,CUST-0140
ORD-00050,2025-04-23,Gloves,Sports,2,127.25,254.5,South,Cancelled,CUST-0274
ORD-00051,2024-07-05,Headphones,Electronics,4,908.24,3632.98,North,Completed,CUST-0195
ORD-00052,2024-09-15,Chair,Home,4,442.23,1768.91,North,Pending,CUST-0010
ORD-00053,2024-09-10,Tablet,Electronics,1,375.12,375.12,South,Completed,CUST-0319
ORD-00054,2025-01-12,Jeans,Clothing,3,138.85,416.55,South,Cancelled,CUST-0311
ORD-00055,2025-02-10,Phone,Electronics,4,1448.85,5795.38,South,Completed,CUST-0304
ORD-00056,2024-02-12,T-Shirt,Clothing,5,70.79,353.96,East,Cancelled,CUST-0220
ORD-00057,2025-03-19,Lamp,Home,1,427.8,427.8,East,Pending,CUST-0363
ORD-00058,2025-05-10,Dress,Clothing,5,111.52,557.62,West,Pending,CUST-0423
ORD-00059,2025-04-20,Table,Home,2,61.6,123.2,West,Completed,CUST-0015
ORD-00060,2024-10-09,Ball,Sports,5,108.7,543.49,North,Cancelled,CUST-0486
ORD-00061,2025-05-17,T-Shirt,Clothing,4,90.19,360.76,West,Completed,CUST-0048
ORD-00062,2025-06-27,Chair,Home,5,338.7,1693.5,East,Pending,CUST-0382
ORD-00063,2024-11-19,Table,Home,2,140.67,281.35,North,Cancelled,CUST-0487
ORD-00064,2024-10-16,Jeans,Clothing,5,104.58,522.88,North,Completed,CUST-0152
ORD-00065,2024-10-26,Jacket,Clothing,1,17.62,17.62,South,Pending,CUST-0053
ORD-00066,2025-05-04,Smartwatch,Electronics,3,462.29,1386.88,North,Completed,CUST-0206
ORD-00067,2024-03-28,Bike,Sports,3,245.23,735.69,South,Completed,CUST-0286
ORD-00068,2024-10-31,Mat,Sports,4,120.31,481.24,West,Completed,CUST-0292
ORD-00069,2024-03-24,Smartwatch,Electronics,3,1442.16,4326.47,South,Completed,CUST-0089
ORD-00070,2024-10-22,Phone,Electronics,2,53.88,107.76,East,Pending,CUST-0037
ORD-00071,2024-04-27,Jacket,Clothing,4,130.64,522.54,South,Completed,CUST-0466
ORD-00072,2024-10-22,Chair,Home,5,167.65,838.27,West,Completed,CUST-0240
ORD-00073,2024-02-10,Vase,Home,5,279.19,1395.96,West,Completed,CUST-0310
ORD-00074,2024-10-02,Lamp,Home,1,421.26,421.26,North,Completed,CUST-0241
ORD-00075,2025-04-26,Ball,Sports,1,152.6,152.6,East,Pending,CUST-0171
ORD-00076,2024-02-07,Vase,Home,4,217.59,870.36,West,Completed,CUST-0162
ORD-00077,2025-04-18,Table,Home,1,435.16,435.16,West,Completed,CUST-0097
ORD-00078,2024-05-14,Pillow,Home,5,384.8,1923.98,East,Pending,CUST-0451
ORD-00079,2024-01-15,Bike,Sports,3,215.84,647.51,West,Completed,CUST-0116
ORD-00080,2025-06-05,Headphones,Electronics,3,1423.24,4269.71,East,Pending,CUST-0428
ORD-00081,2024-05-19,Gloves,Sports,5,277.34,1386.71,North,Completed,CUST-0396
ORD-00082,2025-05-16,Ball,Sports,3,92.02,276.07,South,Pending,CUST-0276
ORD-00083,2024-09-01,Ball,Sports,2,280.53,561.05,West,Completed,CUST-0439
ORD-00084,2025-05-22,Bike,Sports,2,120.56,241.11,North,Completed,CUST-0258
ORD-00085,2025-02-23,Lamp,Home,2,272.46,544.91,South,Completed,CUST-0241
ORD-00086,2025-01-24,Table,Home,5,58.55,292.76,East,Pending,CUST-0447
ORD-00087,2025-03-20,Smartwatch,Electronics,1,149.21,149.21,North,Completed,CUST-0228
ORD-00088,2025-01-18,Hat,Clothing,3,20.36,61.07,West,Completed,CUST-0126
ORD-00089,2024-09-03,Mat,Sports,4,186.75,747.01,West,Cancelled,CUST-0074
ORD-00090,2024-10-21,Dress,Clothing,4,100.02,400.08,South,Completed,CUST-0227
ORD-00091,2024-07-22,Pillow,Home,3,351.35,1054.05,West,Pending,CUST-0055
ORD-00092,2024-10-08,Dress,Clothing,4,121.34,485.36,North,Cancelled,CUST-0443
ORD-00093,2024-12-26,Smartwatch,Electronics,2,1130.5,2261.0,South,Completed,CUST-0318
ORD-00094,2024-02-10,Vase,Home,1,346.81,346.81,East,Pending,CUST-0018
ORD-00095,2024-05-15,Vase,Home,2,176.83,353.65,East,Cancelled,CUST-0257
ORD-00096,2024-04-27,Chair,Home,3,251.29,753.86,West,Completed,CUST-0073
ORD-00097,2024-04-02,Hat,Clothing,3,196.29,588.87,West,Completed,CUST-0136
ORD-00098,2024-04-20,Headphones,Electronics,3,584.45,1753.35,South,Pending,CUST-0013
ORD-00099,2025-02-22,Pillow,Home,3,415.45,1246.35,North,Completed,CUST-0024
ORD-00100,2025-04-09,Tablet,Electronics,4,1494.09,5976.38,East,Cancelled,CUST-0215
ORD-00101,2024-02-03,Dress,Clothing,3,169.23,507.7,East,Completed,CUST-0228
ORD-00102,2024-03-03,Racket,Sports,3,167.9,503.69,West,Completed,CUST-0098
ORD-00103,2024-12-07,Headphones,Electronics,1,182.93,182.93,South,Completed,CUST-0403
ORD-00104,2024-12-02,T-Shirt,Clothing,2,117.53,235.06,South,Cancelled,CUST-0002
ORD-00105,2024-05-14,Chair,Home,1,403.29,403.29,North,Completed,CUST-0405
ORD-00106,2024-04-26,Shoes,Clothing,5,47.24,236.18,North,Pending,CUST-0230
ORD-00107,2024-11-04,Pillow,Home,5,126.34,631.72,West,Completed,CUST-0032
ORD-00108,2024-11-25,Gloves,Sports,1,138.63,138.63,South,Completed,CUST-0065
ORD-00109,2024-10-28,Pillow,Home,5,176.09,880.45,West,Cancelled,CUST-0310
ORD-00110,2024-08-08,Bike,Sports,5,264.53,1322.67,West,Pending,CUST-0455
ORD-00111,2024-11-16,Dress,Clothing,4,98.9,395.59,East,Completed,CUST-0489
ORD-00112,2025-01-16,Hat,Clothing,1,27.42,27.42,South,Cancelled,CUST-0031
ORD-00113,2024-10-21,Vase,Home,1,339.36,339.36,East,Completed,CUST-0054
ORD-00114,2024-04-27,Jeans,Clothing,3,56.49,169.46,East,Cancelled,CUST-0116
ORD-00115,2024-09-30,Mat,Sports,1,196.38,196.38,North,Completed,CUST-0140
ORD-00116,2024-05-25,Table,Home,1,88.76,88.76,North,Completed,CUST-0383
ORD-00117,2024-03-27,Dress,Clothing,5,78.07,390.33,North,Completed,CUST-0081
ORD-00118,2024-10-06,Camera,Electronics,4,168.29,673.17,South,Cancelled,CUST-0059
ORD-00119,2024-02-16,Rug,Home,3,304.7,914.11,South,Pending,CUST-0307
ORD-00120,2024-12-01,Laptop,Electronics,3,346.41,1039.24,North,Completed,CUST-0255
ORD-00121,2024-03-14,Racket,Sports,3,172.03,516.09,West,Completed,CUST-0224
ORD-00122,2024-10-23,Headphones,Electronics,4,1385.69,5542.74,North,Pending,CUST-0011
ORD-00123,2025-03-23,Chair,Home,1,419.37,419.37,North,Completed,CUST-0224
ORD-00124,2024-03-19,Mat,Sports,2,74.26,148.51,North,Cancelled,CUST-0262
ORD-00125,2024-05-29,Jacket,Clothing,1,192.27,192.27,East,Completed,CUST-0089
ORD-00126,2025-04-04,Hat,Clothing,5,190.99,954.95,East,Completed,CUST-0078
ORD-00127,2025-06-03,Bike,Sports,3,181.51,544.54,North,Completed,CUST-0237
ORD-00128,2025-06-03,Bike,Sports,1,260.63,260.63,West,Pending,CUST-0298
ORD-00129,2024-06-03,Headphones,Electronics,5,1368.12,6840.61,North,Pending,CUST-0053
ORD-00130,2025-06-20,Vase,Home,4,38.79,155.15,South,Completed,CUST-0191
ORD-00131,2024-03-08,Rug,Home,3,306.99,920.96,East,Completed,CUST-0286
ORD-00132,2024-12-07,Ball,Sports,2,184.78,369.57,North,Cancelled,CUST-0340
ORD-00133,2024-11-13,Jacket,Clothing,1,136.37,136.37,West,Completed,CUST-0417
ORD-00134,2025-03-09,Hat,Clothing,1,190.22,190.22,East,Completed,CUST-0186
ORD-00135,2024-06-07,Chair,Home,2,387.75,775.51,North,Completed,CUST-0433
ORD-00136,2024-05-14,Smartwatch,Electronics,3,1167.77,3503.31,West,Completed,CUST-0084
ORD-00137,2025-01-08,Hat,Clothing,4,164.67,658.69,South,Pending,CUST-0313
ORD-00138,2024-07-17,Vase,Home,4,134.8,539.2,East,Cancelled,CUST-0226
ORD-00139,2024-05-21,Ball,Sports,2,57.0,113.99,East,Completed,CUST-0329
ORD-00140,2024-03-26,Ball,Sports,3,256.84,770.51,South,Completed,CUST-0231
ORD-00141,2025-02-28,Dress,Clothing,1,183.44,183.44,North,Pending,CUST-0258
ORD-00142,2024-12-09,Chair,Home,1,127.78,127.78,South,Completed,CUST-0020
ORD-00143,2024-03-22,Rug,Home,1,358.66,358.66,North,Completed,CUST-0111
ORD-00144,2024-11-04,Shoes,Clothing,2,127.64,255.29,North,Completed,CUST-0123
ORD-00145,2024-01-17,Weights,Sports,5,272.49,1362.46,South,Completed,CUST-0150
ORD-00146,2025-06-20,Bike,Sports,1,202.67,202.67,East,Completed,CUST-0489
ORD-00147,2024-12-31,Headphones,Electronics,1,1316.33,1316.33,North,Completed,CUST-0124
ORD-00148,2025-04-20,Smartwatch,Electronics,2,1116.02,2232.04,West,Completed,CUST-0416
ORD-00149,2024-02-12,T-Shirt,Clothing,2,189.57,379.13,East,Completed,CUST-0264
ORD-00150,2024-12-05,Mat,Sports,1,92.97,92.97,East,Completed,CUST-0410
ORD-00151,2025-05-23,Rug,Home,2,449.43,898.85,West,Completed,CUST-0474
ORD-00152,2024-10-27,Lamp,Home,5,309.18,1545.89,East,Completed,CUST-0041
ORD-00153,2024-12-25,Vase,Home,4,364.48,1457.91,West,Completed,CUST-0373
ORD-00154,2025-02-19,Pillow,Home,1,490.41,490.41,East,Cancelled,CUST-0411
ORD-00155,2024-08-29,T-Shirt,Clothing,1,127.4,127.4,East,Completed,CUST-0197
ORD-00156,2024-05-20,Smartwatch,Electronics,1,272.49,272.49,East,Pending,CUST-0161
ORD-00157,2024-04-30,Chair,Home,5,109.3,546.52,East,Completed,CUST-0361
ORD-00158,2024-05-18,Racket,Sports,1,152.45,152.45,North,Pending,CUST-0089
ORD-00159,2024-10-24,Bike,Sports,1,203.67,203.67,East,Completed,CUST-0365
ORD-00160,2024-01-27,Jacket,Clothing,4,37.45,149.81,East,Cancelled,CUST-0294
ORD-00161,2025-02-11,Rug,Home,3,313.74,941.21,West,Cancelled,CUST-0211
ORD-00162,2024-12-18,Mat,Sports,5,140.49,702.46,South,Cancelled,CUST-0328
ORD-00163,2024-11-07,Jeans,Clothing,2,183.48,366.96,South,Completed,CUST-0166
ORD-00164,2024-10-08,Jacket,Clothing,2,111.0,221.99,South,Completed,CUST-0315
ORD-00165,2024-12-11,Smartwatch,Electronics,5,979.43,4897.16,North,Completed,CUST-0042
ORD-00166,2024-02-01,Camera,Electronics,5,1167.98,5839.91,West,Cancelled,CUST-0149
ORD-00167,2024-06-10,Rug,Home,1,214.92,214.92,West,Pending,CUST-0248
ORD-00168,2025-02-12,Racket,Sports,3,102.6,307.81,South,Completed,CUST-0264
ORD-00169,2024-10-24,Tablet,Electronics,1,400.52,400.52,West,Cancelled,CUST-0215
ORD-00170,2025-05-25,Jeans,Clothing,2,187.74,375.49,West,Pending,CUST-0451
ORD-00171,2024-12-27,Rug,Home,2,262.61,525.23,North,Completed,CUST-0145
ORD-00172,2025-03-17,Mat,Sports,1,165.64,165.64,South,Completed,CUST-0373
ORD-00173,2024-10-22,Rug,Home,5,293.74,1468.68,North,Pending,CUST-0259
ORD-00174,2025-02-07,Mat,Sports,1,44.46,44.46,East,Completed,CUST-0286
ORD-00175,2024-12-07,Chair,Home,2,260.04,520.07,West,Cancelled,CUST-0234
ORD-00176,2024-11-02,Shoes,Clothing,4,40.86,163.44,East,Cancelled,CUST-0425
ORD-00177,2025-03-02,Weights,Sports,1,106.06,106.06,East,Completed,CUST-0306
ORD-00178,2025-05-06,Ball,Sports,1,177.51,177.51,South,Cancelled,CUST-0323
ORD-00179,2024-01-20,Racket,Sports,2,213.15,426.3,West,Completed,CUST-0215
ORD-00180,2024-05-21,Dress,Clothing,1,90.92,90.92,South,Cancelled,CUST-0167
ORD-00181,2024-12-28,Mat,Sports,5,164.61,823.03,East,Cancelled,CUST-0248
ORD-00182,2024-07-31,Jeans,Clothing,3,70.22,210.67,West,Completed,CUST-0246
ORD-00183,2025-01-23,Pillow,Home,5,151.26,756.3,West,Completed,CUST-0489
ORD-00184,2025-05-05,Jacket,Clothing,3,191.73,575.2,South,Completed,CUST-0424
ORD-00185,2024-02-21,Pillow,Home,2,315.52,631.05,South,Completed,CUST-0027
ORD-00186,2024-06-10,Headphones,Electronics,5,528.93,2644.63,West,Pending,CUST-0245
ORD-00187,2024-08-25,Jacket,Clothing,5,134.49,672.46,North,Completed,CUST-0214
ORD-00188,2024-02-08,T-Shirt,Clothing,3,88.44,265.33,North,Completed,CUST-0291
ORD-00189,2025-05-31,Tablet,Electronics,2,462.61,925.23,West,Completed,CUST-0099
ORD-00190,2024-10-29,Tablet,Electronics,3,285.62,856.85,South,Completed,CUST-0313
ORD-00191,2025-05-03,Gloves,Sports,2,63.59,127.17,East,Completed,CUST-0004
ORD-00192,2024-01-12,Rug,Home,5,477.94,2389.68,East,Completed,CUST-0355
ORD-00193,2024-04-30,T-Shirt,Clothing,3,101.1,303.29,East,Completed,CUST-0315
ORD-00194,2025-03-01,Jeans,Clothing,3,103.46,310.39,West,Cancelled,CUST-0411
ORD-00195,2025-01-05,Jeans,Clothing,5,125.23,626.13,North,Cancelled,CUST-0058
ORD-00196,2025-03-28,Smartwatch,Electronics,5,1359.19,6795.94,North,Completed,CUST-0368
ORD-00197,2025-04-12,Bike,Sports,4,48.26,193.06,North,Cancelled,CUST-0237
ORD-00198,2024-02-16,Vase,Home,1,21.45,21.45,West,Completed,CUST-0359
ORD-00199,2024-10-20,Smartwatch,Electronics,1,1491.48,1491.48,West,Completed,CUST-0394
ORD-00200,2025-04-04,Hat,Clothing,4,134.49,537.95,West,Pending,CUST-0042
ORD-00201,2024-08-16,Hat,Clothing,2,36.95,73.89,North,Completed,CUST-0153
ORD-00202,2024-12-20,Weights,Sports,4,76.6,306.41,South,Completed,CUST-0097
ORD-00203,2024-09-03,Laptop,Electronics,1,1223.74,1223.74,South,Completed,CUST-0052
ORD-00204,2025-03-25,Headphones,Electronics,4,916.79,3667.15,South,Cancelled,CUST-0112
ORD-00205,2024-11-24,Phone,Electronics,3,780.65,2341.95,South,Completed,CUST-0449
ORD-00206,2024-06-28,Hat,Clothing,5,91.51,457.54,West,Cancelled,CUST-0254
ORD-00207,2025-02-22,Tablet,Electronics,4,1415.3,5661.2,South,Completed,CUST-0193
ORD-00208,2024-02-29,Shoes,Clothing,4,172.13,688.51,West,Pending,CUST-0286
ORD-00209,2024-04-04,Dress,Clothing,3,52.62,157.85,South,Completed,CUST-0138
ORD-00210,2024-08-10,Weights,Sports,5,243.35,1216.74,West,Completed,CUST-0446
ORD-00211,2025-05-05,Table,Home,1,469.84,469.84,South,Cancelled,CUST-0361
ORD-00212,2025-01-02,Dress,Clothing,5,117.13,585.67,East,Completed,CUST-0185
ORD-00213,2025-01-14,Gloves,Sports,2,253.52,507.04,East,Pending,CUST-0024
ORD-00214,2024-10-29,Hat,Clothing,4,63.24,252.97,South,Completed,CUST-0169
ORD-00215,2024-09-20,Dress,Clothing,3,60.46,181.38,West,Pending,CUST-0236
ORD-00216,2024-03-01,Hat,Clothing,5,46.31,231.57,North,Completed,CUST-0484
ORD-00217,2024-08-11,Laptop,Electronics,1,647.97,647.97,West,Completed,CUST-0031
ORD-00218,2024-10-08,Weights,Sports,5,13.44,67.18,East,Completed,CUST-0258
ORD-00219,2024-09-15,Racket,Sports,5,65.66,328.3,East,Completed,CUST-0408
ORD-00220,2024-11-03,Bike,Sports,2,297.17,594.34,North,Completed,CUST-0048
ORD-00221,2025-05-26,Gloves,Sports,1,213.83,213.83,West,Completed,CUST-0290
ORD-00222,2025-05-01,Smartwatch,Electronics,5,1382.77,6913.85,East,Completed,CUST-0474
ORD-00223,2024-01-17,Camera,Electronics,3,1392.1,4176.29,South,Cancelled,CUST-0074
ORD-00224,2024-12-05,Bike,Sports,5,256.34,1281.69,West,Completed,CUST-0405
ORD-00225,2024-12-14,Smartwatch,Electronics,1,1130.91,1130.91,West,Completed,CUST-0016
ORD-00226,2025-01-24,Rug,Home,5,471.75,2358.74,North,Cancelled,CUST-0152
ORD-00227,2025-02-02,Hat,Clothing,2,64.57,129.15,East,Completed,CUST-0055
ORD-00228,2024-07-10,Laptop,Electronics,1,1417.29,1417.29,West,Pending,CUST-0286
ORD-00229,2025-01-29,Bike,Sports,3,183.43,550.3,North,Completed,CUST-0212
ORD-00230,2024-06-22,Bike,Sports,5,80.4,401.98,West,Completed,CUST-0072
ORD-00231,2025-05-10,Table,Home,3,100.26,300.78,North,Completed,CUST-0129
ORD-00232,2024-01-07,Hat,Clothing,3,124.85,374.56,West,Completed,CUST-0431
ORD-00233,2024-05-19,Ball,Sports,5,198.8,994.0,East,Completed,CUST-0309
ORD-00234,2024-09-05,Dress,Clothing,4,193.45,773.79,East,Pending,CUST-0144
ORD-00235,2024-01-28,Ball,Sports,5,168.23,841.16,West,Completed,CUST-0225
ORD-00236,2024-11-06,Vase,Home,2,401.62,803.24,South,Completed,CUST-0338
ORD-00237,2025-02-14,Hat,Clothing,5,84.74,423.72,West,Cancelled,CUST-0019
ORD-00238,2024-12-29,Vase,Home,2,326.33,652.65,South,Cancelled,CUST-0023
ORD-00239,2025-06-15,Ball,Sports,5,85.03,425.17,South,Pending,CUST-0192
ORD-00240,2025-05-09,Gloves,Sports,1,110.04,110.04,North,Completed,CUST-0213
ORD-00241,2025-06-17,Laptop,Electronics,2,1255.41,2510.82,West,Completed,CUST-0244
ORD-00242,2024-01-24,Headphones,Electronics,1,1096.89,1096.89,East,Completed,CUST-0347
ORD-00243,2024-08-25,Hat,Clothing,4,47.27,189.1,West,Completed,CUST-0096
ORD-00244,2024-01-05,Gloves,Sports,4,181.74,726.96,South,Completed,CUST-0143
ORD-00245,2024-04-26,Smartwatch,Electronics,4,197.54,790.16,East,Pending,CUST-0271
ORD-00246,2024-06-25,Pillow,Home,4,74.83,299.33,East,Cancelled,CUST-0303
ORD-00247,2025-06-07,Camera,Electronics,2,244.22,488.45,West,Pending,CUST-0306
ORD-00248,2024-06-19,Shoes,Clothing,2,49.36,98.73,West,Completed,CUST-0072
ORD-00249,2024-05-19,Jacket,Clothing,4,129.59,518.36,South,Pending,CUST-0494
ORD-00250,2024-02-01,Gloves,Sports,1,151.72,151.72,South,Completed,CUST-0017
ORD-00251,2025-06-07,Chair,Home,4,239.51,958.06,North,Cancelled,CUST-0059
ORD-00252,2024-08-11,Pillow,Home,4,414.85,1659.41,West,Completed,CUST-0377
ORD-00253,2025-03-25,Jacket,Clothing,1,20.96,20.96,North,Completed,CUST-0108
ORD-00254,2024-03-01,Vase,Home,2,315.75,631.51,East,Cancelled,CUST-0144
ORD-00255,2024-04-07,Jacket,Clothing,5,69.14,345.69,South,Pending,CUST-0471
ORD-00256,2024-09-10,Tablet,Electronics,3,1307.22,3921.66,West,Pending,CUST-0073
ORD-00257,2025-02-16,Vase,Home,1,324.14,324.14,East,Completed,CUST-0233
ORD-00258,2025-01-01,Ball,Sports,4,37.01,148.04,North,Cancelled,CUST-0204
ORD-00259,2024-05-13,Dress,Clothing,5,106.52,532.61,West,Completed,CUST-0458
ORD-00260,2025-03-27,Laptop,Electronics,2,194.38,388.77,West,Completed,CUST-0491
ORD-00261,2024-04-05,Racket,Sports,3,97.54,292.62,East,Completed,CUST-0043
ORD-00262,2025-03-15,Vase,Home,2,210.24,420.49,North,Completed,CUST-0001
ORD-00263,2024-12-17,Dress,Clothing,1,124.83,124.83,North,Pending,CUST-0356
ORD-00264,2025-01-11,Dress,Clothing,3,85.87,257.6,East,Completed,CUST-0196
ORD-00265,2025-03-26,Hat,Clothing,2,41.43,82.86,East,Completed,CUST-0322
ORD-00266,2024-05-06,Dress,Clothing,2,96.84,193.68,West,Completed,CUST-0494
ORD-00267,2024-10-18,Ball,Sports,5,81.97,409.84,North,Completed,CUST-0106
ORD-00268,2025-05-21,Hat,Clothing,2,134.54,269.08,West,Completed,CUST-0124
ORD-00269,2024-05-15,Weights,Sports,3,296.2,888.59,West,Cancelled,CUST-0216
ORD-00270,2024-03-10,Pillow,Home,1,478.14,478.14,North,Completed,CUST-0111
ORD-00271,2025-03-09,Laptop,Electronics,4,1425.59,5702.34,West,Completed,CUST-0328
ORD-00272,2024-11-30,Jacket,Clothing,2,29.62,59.24,West,Cancelled,CUST-0325
ORD-00273,2025-03-20,Tablet,Electronics,1,1063.08,1063.08,North,Pending,CUST-0314
ORD-00274,2024-01-12,Tablet,Electronics,2,1015.82,2031.63,South,Pending,CUST-0488
ORD-00275,2024-04-30,Pillow,Home,3,144.44,433.32,North,Completed,CUST-0414
ORD-00276,2025-04-11,Ball,Sports,4,191.98,767.94,East,Completed,CUST-0256
ORD-00277,2024-08-21,Jacket,Clothing,1,158.07,158.07,North,Completed,CUST-0440
ORD-00278,2025-03-05,Phone,Electronics,1,116.67,116.67,South,Completed,CUST-0128
ORD-00279,2024-07-02,Weights,Sports,1,44.63,44.63,South,Cancelled,CUST-0024
ORD-00280,2025-04-12,Bike,Sports,1,100.1,100.1,North,Completed,CUST-0103
ORD-00281,2024-07-19,Pillow,Home,4,136.44,545.76,South,Completed,CUST-0004
ORD-00282,2024-01-02,Bike,Sports,3,264.39,793.16,West,Completed,CUST-0054
ORD-00283,2024-10-13,Shoes,Clothing,2,92.67,185.33,North,Completed,CUST-0472
ORD-00284,2024-04-07,Shoes,Clothing,5,180.68,903.41,South,Pending,CUST-0039
ORD-00285,2024-11-30,Headphones,Electronics,4,1010.54,4042.17,East,Pending,CUST-0140
ORD-00286,2024-06-17,T-Shirt,Clothing,1,40.18,40.18,West,Pending,CUST-0161
ORD-00287,2024-05-02,Bike,Sports,3,99.41,298.23,North,Completed,CUST-0414
ORD-00288,2024-09-11,Vase,Home,1,421.24,421.24,East,Pending,CUST-0263
ORD-00289,2024-09-12,Camera,Electronics,4,483.32,1933.28,North,Pending,CUST-0053
ORD-00290,2025-01-16,T-Shirt,Clothing,4,168.62,674.48,North,Cancelled,CUST-0301
ORD-00291,2024-04-04,Lamp,Home,2,453.2,906.4,East,Completed,CUST-0022
ORD-00292,2025-01-26,Bike,Sports,1,124.55,124.55,West,Completed,CUST-0182
ORD-00293,2024-09-08,Jeans,Clothing,5,97.51,487.56,East,Pending,CUST-0211
ORD-00294,2024-09-12,Bike,Sports,5,196.37,981.85,North,Pending,CUST-0401
ORD-00295,2024-10-03,Rug,Home,4,458.08,1832.34,South,Completed,CUST-0164
ORD-00296,2025-01-01,T-Shirt,Clothing,5,159.03,795.15,South,Completed,CUST-0052
ORD-00297,2025-02-01,Hat,Clothing,2,113.73,227.47,East,Completed,CUST-0091
ORD-00298,2024-05-25,Shoes,Clothing,3,151.55,454.65,South,Pending,CUST-0278
ORD-00299,2025-05-04,Chair,Home,5,131.66,658.3,North,Completed,CUST-0470
